hindi,english,freq
टेक्स्ट,text,456
वविद्यालय,university,456
क्रीम,cream,456
धड़,torso,456
इलेक्ट्रॉनिकी,electronics,455
प्लग,plug,455
निषिद्ध,prohibited,455
टुकड़ी,detachment,455
शीघ्रता,promptness,455
आमदनी,income,455
विजेताओं,winners,455
कल्याणकारी,welfare,455
आरोपित,accused,455
जामा,jama,455
पाठशाला,school,455
सीने,chest,455
विध्वंस,demolition,454
निचला,lower,454
कंकाल,skeleton,454
तबाह,devastated,454
श्रृंगार,makeup,454
गम्भीर,serious,454
रंगहीन,colorless,454
झरना,waterfall,454
मिश्रधातु,metal alloys,454
टीकाकरण,vaccination,454
काकोरी,kakori,454
ताँबे,copper,454
निष्पक्ष,neutral,453
खाती,eats,453
पलट,overturn,453
संघर्षों,conflicts,453
त्यों,that's how,453
रैली,rally,453
धारणाओं,assumptions,453
पिथौरागढ़,pithoragarh,453
थाईलैण्ड,thailand,453
अवतरित,incarnated,453
बहार,spring,453
दूतावास,embassy,453
जाली,forged,452
हेलेना,helena,452
फेंकने,throwing,452
महाकल्प,epic period,452
गन्ने,sugarcane,452
मतदाता,voters,452
लॉर्ड्स,lords,452
किंगफिशर,kingfisher,452
एंटरटेनमेंट,entertainment,452
वसूली,recovery,452
उद,ud,452
आयामों,dimensions,451
यथेष्ट,sufficient,451
खुलने,opening,451
प्याज,onion,451
धन्यवाद,thank you,451
काष्ठ,wood,451
एडम्स,adams,451
अंजलि,anjali,451
जुडी,judy,451
नमाज़,prayer,451
वृंदावन,vrindavan,450
धर्मसूत्र,dharmasutra,450
प्रक्रम,process,450
बीजू,biju,450
तुम्हारा,yours,450
गंतव्य,destination,450
नासिक,nashik,450
डायना,diana,450
वाद्ययंत्र,instrument,450
हलके,light,449
प्रोटोटाइप,prototype,449
तन,body,449
सहर,early morning,449
पीस,grind,449
छिपे,hidden,449
हाजीपुर,hajipur,449
शिवरात्रि,shivratri,449
प्रिया,priya,449
कक्षीय,orbital,449
सिंधी,sindhi,449
रफ़ी,rafi,449
हब,hub,449
नाईट,night,449
संभाली,took care of,449
स्क्रीनिंग,screening,449
वेस्टर्न,western,449
नितांत,absolutely,448
तह,folding,448
संतोषजनक,satisfactory,448
अशांति,unrest,448
मानदंडों,norms,448
इराक़,iraq,448
लेट,late,448
पिस्टन,piston,448
फ़्रान्सीसी,french,448
रुझान,trend,448
पिच,pitch,448
विजुअल,visuals,448
संप्रेषण,communication,447
अनूठा,unique,447
आकृतियों,shapes,447
होस्ट,host,447
सर्वोपरि,supreme,447
नशे,intoxication,447
विलीन,merged,447
बीता,past,447
घटाने,subtract,447
आईएसओ,iso,447
पक्का,sure!,447
करुणा,compassion,447
रुकावट,barrier,447
जश्न,celebration,447
लगायी,applied,447
रिश्तों,relationships,447
सत्रों,sessions,447
सम्बोधित,addressed,447
चबूतरे,pops,447
आधुनिकता,modernity,447
जफर,zafar,447
खांसी,cough,447
कलिल,kalil,447
उपाधियाँ,titles,446
मुख्यतया,mainly,446
उद्धार,salvation,446
टिक,tick,446
कॉर्नेल,cornell,446
गोरी,blonde,446
तृतीयक,tertiary,446
सप्तम,seventh,446
रिएक्टर,reactor,446
मोटर्स,motors,446
मगरमच्छ,crocodile,446
बैरम,bairam,446
ज़ांज़ीबार,zanzibar,446
स्टारबक्स,starbucks,446
मारीशस,mauritius,445
इस्लिंगटन,islington,445
काराकोरम,karakoram,445
रॉस,ross,445
समस्याएँ,issues,445
मलावी,malawi,444
सूर्योदय,sunrise,444
मिलर,miller,444
स्थायित्व,durability,444
हैमरस्मिथ,hammersmith,444
सटन,sutton,444
काजी,qazi,444
अनंतर,after,444
शेयरधारकों,shareholders,444
तापीय,thermal,444
तैरते,floating,444
उत्सवों,festivals,444
राजमहल,palace,444
पीड़ितों,victims,444
शेखर,sekhar,444
पैन,pan,443
झेलम,jhelum,443
उत्साहित,excited,443
मकसद,motive,443
जगदलपुर,jagdalpur,443
विनय,vinay,443
समशीतोष्ण,temperate,443
तेरी,your,443
अधिकांशत,mostly,443
घेराबंदी,siege,443
चिन,chin,443
रामानुजन,ramanujan,443
बुर्ज,turret,442
ज़रिए,through,442
उन्नयन,upgrades,442
दाखिल,admission,442
राष्ट्रसंघ,league of nations,442
तैराकी,swimming,442
उन्ही,them,442
वुडफ़र्ड,woodford,442
नगण्य,negligible,442
बाइबल,bible,442
वाङ्मय,literature,442
पूर्णांक,integer,442
डिजाइनर,designer,442
नहरें,canals,442
दंगों,riots,442
दशहरा,dussehra,441
चिन्ता,worry,441
चिसलहर्स्ट,chiselhurst,441
डायल,dial,441
अधिकरण,tribunal,441
उड़ने,flying,441
मेटल,metal,441
लाता,brings,441
क्रोमियम,chromium,441
छात्रावास,hostel,440
भलाई,well-being,440
तांत्रिक,tantric,440
तुर्कमेनिस्तान,turkmenistan,440
अपोलो,apollo,440
ऑयल,oil,440
आखरी,last,440
विस्टा,vista,440
यॉर्कशायर,yorkshire,440
चरित्रों,characters,440
प्रशा,prussia,440
मानसरोवर,mansrovar,440
सोन,son,440
शरणार्थियों,refugees,440
नाविक,sailor,440
पिट,pit,440
गलनांक,melting point,439
गोंडवाना,gondwana,439
हरियाली,greenery,439
डायोड,diode,439
क़िले,forts,439
सकेंगे,will be able,439
रोमानी,romani,439
अल्पसंख्यकों,minorities,439
विधिक,legal,439
पापों,sins,439
पैगम्बर,prophet,439
बमबारी,bombing,439
वक्ष,chest,439
बाहुबली,bahubali,439
ज्वालामुखीय,volcanic,439
खेलना,play,438
स्थानान्तरण,transfers,438
जलने,burning,438
चढ़ाव,upswing,438
नौकरियों,jobs,438
शाश्वत,eternal,438
बढ़ना,grow,438
अध्,chapter,438
सोम,mon,438
अवतारों,avatars,438
दासता,slavery,438
राखी,rakhi,438
परीक्षाओं,examinations,438
संतृप्त,saturated,437
न्यास,trust,437
समुद्रतट,beach,437
नारे,slogans,437
प्रतिमान,paradigm,437
पुनर्वास,rehabilitation,437
सिंगल,single,437
सू,soo,437
बाजरा,millet,437
हिम्मत,courage,437
मैसाचुसेट्स,massachusetts,437
नोएडा,noida,437
प्रवचन,discourse,437
वर्दी,uniform,437
जलन,burning,437
पांचवीं,fifth,437
इन्फ्लूएंजा,influenza,437
यूट्यूब,youtube,436
गुरुवार,thursday,436
कोटे,quota,436
पीसी,pc,436
भेजता,sends,436
तोड़कर,by breaking,436
संभल,be careful,436
हेलो,hi,436
मंत्रों,mantras,435
सातवाहन,satavahanas,435
लाभप्रद,beneficial,435
अर्ल,earl,435
फ्रंट,front,435
कैदियों,prisoners,435
बाप,father,435
मिटटी,soil,435
रजिस्टर,register,435
लेंगे,will take,435
बार्किंग,barking,435
महंगे,expensive,435
रेगिस्तानी,desert,435
साइन,sign,435
मानकीकरण,standardization,435
अंडा,egg,435
जीभ,tongue,435
कोस्ट,coast,435
मठों,monasteries,435
सांप,snake,434
विरोधाभास,contradiction,434
सौराष्ट्र,saurashtra,434
अव्यवस्था,chaos,434
कमांड,command,434
सिक्का,coin,434
सचमुच,really,434
खगोलशास्त्र,astronomy,434
राज्यकाल,reign,434
बार्न्स,barnes,434
वंड्सवर्थ,wandsworth,434
लालपुर,lalpur,434
लग्न,ascendant,434
हटने,remove,434
हेडगेवार,hedgewar,434
विलास,luxury,434
डेक,deck,433
मोजाम्बिक,mozambique,433
बोलती,speaking,433
दुश्मनों,enemies,433
रूपांतर,variations,433
अमूर्त,abstract,433
संधियों,treaties,433
असेंबली,assembly,433
पुनर्जन्म,rebirth,433
कृषकों,farmers,433
मिशिगन,michigan,433
चिरसम्मत,classically agreed,433
नीतिशास्त्र,ethics,433
जॉनी,johnny,433
केविन,kevin,433
वंशजों,descendants,433
वर्जीनिया,virginia,433
वेशभूषा,uniform,433
रामलीला,ramlila,433
उठती,rising,432
विवेचना,discussion,432
गवाही,testimony,432
पेंटिंग,painting,432
मिर्ज़ा,mirza,432
खरीदी,purchased,432
लौटकर,returning,432
बंधक,mortgage,432
हिरासत,custody,432
उचाई,height,432
संगीतमय,musical,432
दैत्य,demon,432
अक्तूबर,october,432
नालंदा,nalanda,432
सउदी,saudi,432
कुत्ता,dog,432
फॉर्म,form,431
रास्तों,paths,431
रिश्तेदार,relative,431
मैडागास्कर,madagascar,431
इण्डोनेशिया,indonesia,431
हेंडन,hendon,431
भिक्षुओं,monks,431
क्रियाकलापों,activities,431
कुरु,kuru,431
भतीजे,nephew,431
वाइरस,virus,431
आपेक्षिक,relative,431
डालती,puts,431
पॉवर,power,431
वैद्य,vaidya,431
पढ़ाया,taught,431
स्टैंड,stand,431
छद्म,pseudo,431
वंशावली,genealogy,430
घुटने,knee,430
कंप्यूटरों,computers,430
बिगड़,deteriorate,430
इंद्रियों,senses,430
गिरोह,gang,430
लुइस,louis,430
भा,bha,430
मदुरै,madurai,430
टिप्पणियों,comments,430
फेर,fer,430
डगलस,douglas,430
कोहली,kohli,430
जलाकर,by burning,429
चालकों,drivers,429
सम्मिश्रण,blending,429
यूटीसी,utc,429
वाटर,water,429
शिरा,vein,429
लॉरेंस,lawrence,429
पुनरावृत्ति,repetition,429
छल,cheat,429
गदर,mutiny,429
अकेली,alone,429
कैपिटल,capital,429
दुकानें,shops,429
नियोक्ता,employer,429
भारद्वाज,bharadwaj,429
ढोल,drum,429
हिंदु,hindu,429
आयोजनों,events,428
गरमी,heat,428
हैसियत,status,428
सहभागिता,participation,428
फ़ुलहम,fulham,428
पीट,peat,428
सुगमता,ease,428
वेनेज़ुएला,venezuela,428
संदर्भों,references,427
उपासक,worshippers,427
श्रीवास्तव,srivastava,427
उपदेशों,teachings,427
पठारी,plateau,427
कमरुद्दीन,kamruddin,427
वेनिस,venice,427
प्रयोक्ताओं,users,427
आँकड़ों,statistics,427
सुशील,sushil,427
दार्जिलिंग,darjeeling,427
ऐल्कोहल,alcohol,427
साम्यवाद,communism,426
वीणा,veena,426
प्लैटिनम,platinum,426
सागरीय,oceanic,426
पहुंचाया,delivered,426
बारहवीं,twelfth,426
स्टोक,stoke,426
अतिक्रमण,encroachment,426
रहन,stay,426
ईश्वरीय,divine,426
महापौर,mayor,426
यूक्रेनी,ukrainian,426
एस्टर,esters,426
जेलीफ़िश,jellyfish,426
लोकमान्य,lokmanya,425
असुरक्षित,vulnerable,425
मैग्नीशियम,magnesium,425
भरकर,by filling,425
साध्य,achievable,425
इकाइयां,units,425
लोकनायक,folk hero,425
लैम्बेथ,lambeth,425
चिन्हित,marked,425
फिल्टर,filter,425
जिलाधिकारी,district magistrate,425
तैमूर,taimur,425
सक्सेना,saxena,425
पित्त,bile,425
प्रतिमाओं,statues,425
लोदी,lodi,425
श्रोताओं,listeners,425
वीथी,gallery,425
नेटस्केप,netscape,425
आविर्भाव,emergence,424
लेसोथो,lesotho,424
गुरुदेव,gurudev,424
विकासवादी,evolutionary,424
बराक,barack,424
खींचा,drawn,424
फ़ारस,persia,424
कगार,brink,424
अंतरिम,interim,424
बांगर,bangra,424
अंडाकार,oval,424
पुंज,bunch,424
फिलिस्तीन,palestine,424
सटे,adjacent,424
चार्ली,charlie,424
इसराइल,israel,424
आयकर,income tax,424
पिकनिक,picnic,423
अनूठी,unique,423
ख्याल,care,423
वाट,watt,423
जनसंघ,jan sangh,423
डॉग्स,dogs,423
उपज़िले,upazilas,423
भिकियासैण,bhikiyasain,423
अश्वेत,blacks,423
श्राप,curse,423
पिण्ड,body,423
गेट्स,gates,423
आइस,ice,423
व्यवहारों,behaviors,423
गैसें,gases,423
फैण्टम,phantom,423
ग्रा,gram,422
बिली,billy,422
इंडीज,indies,422
गूढ़,esoteric,422
जोरहाट,jorhat,422
सजातीय,homogeneous,422
मैथुन,sexual intercourse,422
थर्मल,thermal,422
प्रविष्टि,entry,422
ज़िन्दगी,life,422
भूमिकाएं,roles,422
नॉन,non,422
विभिन्नता,diversity,422
हालात,situation,422
कंस,kansa,422
योद्धाओं,warriors,421
रची,hatched,421
बैरी,barry,421
ख़लीफ़ा,caliph,421
पराक्रम,courage,421
ज्ञानपीठ,jnanpith,421
सोहो,soho,421
त्रावणकोर,travancore,421
नलियों,tubes,421
वानस्पतिक,botanical,421
पूछताछ,inquiry,421
कहलाए,be called,421
महासंघ,federation,421
गाँठ,knot,421
इजरायल,israel,421
कलियां,buds,420
गला,throat,420
जयदेव,jaidev,420
दुर्गम,inaccessible,420
गौड़,gaud,420
देखती,looking,420
बिस्तर,bed,420
चू,chu,420
डेगनहम,dagenham,420
हलांकि,however,420
अनुराग,anurag,420
कोशिकीय,cellular,420
उस्मान,usman,420
एफ़,f,420
सम्पदा,estate,420
आण्विक,molecular,420
ध्,dh,420
समुद्रगुप्त,samudragupta,420
प्रभा,prabha,419
साम्राज्यवादी,imperialist,419
जिबूती,djibouti,419
मातृवंश,matrilineage,419
सिल्वर,silver,419
पासपोर्ट,passport,419
ग्रांड,grand,419
नमस्कार,hello,419
परिमित,finite,419
संहिताओं,codes,419
कारणवश,for a reason,419
चढ़ाने,offering,418
डॉक्टरों,doctors,418
प्रोटीनों,proteins,418
अपडेट,update,418
खालसा,khalsa,418
तांबा,copper,418
सुनी,heard,418
हर्ट्ज,hertz,418
हैः,is:,418
विद,with,418
टेरी,terry,418
दफनाया,buried,418
साउंडट्रैक,soundtrack,418
सुर,tone,417
ईमानदारी,honesty,417
आवेशित,charged,417
जुटाने,mobilize,417
लटका,hung,417
दोहरा,double,417
तटवर्ती,coastal,417
लाती,lati,417
झटके,shocks,417
संचारित,transmit,417
ब्रह्मचारी,celibate,417
मतदाताओं,voters,417
यदा,sometimes,417
प्रस्तावों,proposals,417
सुरेश,suresh,417
अस्थियों,bones,417
बिड़ला,birla,417
योजन,plan,417
राजवंशों,dynasties,417
अज्ञान,ignorance,417
शिलाओं,rocks,416
बहता,flowing,416
उखाड़,uproot,416
फ़िलिपीन्ज़,philippines,416
कटरा,area,416
ज्वाला,flame,416
विरल,rare,416
कोइल,coil,416
इट,it,416
बीन,bean,416
कराये,get it done,415
मरण,death,415
आयताकार,rectangular,415
सफ़दरजंग,safdarjung,415
इयान,ian,415
आजम,azam,415
पहाड़पुर,paharpur,415
हस्तांतरित,transferred,415
कहलाया,was called,415
पासवर्ड,password,415
थ्री,three,415
ति,ti,415
ब्लड,blood,415
जस्टिस,justice,415
विप्रो,wipro,415
कल्चर,culture,415
इच्छानुसार,as desired,414
उछाल,bounce,414
खोजी,investigator,414
सल्फर,sulphur,414
ब्लूज़,blues,414
मशीनें,machines,414
भट्टी,furnace,414
बिलारी,bilari,414
बोलियाँ,bids,414
जिम्बाब्वे,zimbabwe,414
करनपुर,karanpur,414
मक्खन,butter,414
रणवीर,ranveer,414
महानिदेशक,director general,414
मुंडे,munde,414
सल्फाइड,sulfide,413
शरीररचना,body structure,413
स्पीड,speed,413
जीर्ण,chronic,413
छपी,printed,413
औचित्य,justification,413
बांसुरी,flute,413
सरीसृप,reptiles,412
पिताजी,father,412
सांगानेर,sanganer,412
पोर्टल,portal,412
नीचा,low,412
पराबैंगनी,ultraviolet,412
टिम,tim,412
श्रावण,shravan,412
सिक्खों,sikhs,412
हा,yes,412
महेन्द्र,mahendra,412
हैकनी,hackney,412
बल्लभ,vallabh,412
ध्वन्यात्मक,phonetic,412
स्याही,ink,412
लॉक,lock,412
करन,karan,412
साकार,realized,412
ध्रुवों,poles,412
तलहटी,foothills,412
अरविंद,arvind,412
काव्यों,poems,412
निष्कर्षों,conclusions,412
जोश,passion,412
निषेचन,fertilization,412
टायसन,tyson,412
सुनहरे,golden,411
ऐक्टन,acton,411
गोविन्दपुर,govindpur,411
मालाबार,malabar,411
ज़रूर,sure,411
प्रोटेस्टेंट,protestant,411
कमरों,rooms,411
साधारणतः,generally,411
पोते,grandchildren,411
सोमेश्वर,someshwar,411
प्रतिभागियों,participants,411
कलन,calculus,411
नायडू,naidu,411
टाई,tie,411
क्लाइंट,client,411
विकलांग,handicap,410
गुरुओं,gurus,410
एंड्रयू,andrew,410
इस्लामाबाद,islamabad,410
तप्त,heated,410
महासागरीय,oceanic,410
स्पिरिट,spirit,410
नं,no,410
क्वार्टर,quarters,410
स्वार्थ,selfishness,410
पिक्चर,picture,410
विधियां,methods,410
चूहे,mice,409
विषाक्त,toxic,409
धोने,washing,409
विधिवत,duly,409
सान,grindstone,409
ग्रेनिच,grenich,409
प्रिंटिंग,printing,409
विभूषित,decorated,409
पश्,pash,409
न्,n,409
शर्ट,shirt,409
पार्थिव,parthiv,409
ढाँचा,framework,409
व्यू,view,409
माध्य,mean,409
थ्योरी,theory,409
आईपी,ip,409
जहर,poison,408
महंगी,expensive,408
आईपीएल,ipl,408
कीचड़,mud,408
वन्दे,vande,408
छोड़ो,leave,408
महाविद्यालयों,colleges,408
चिंताओं,concerns,408
राजमार्गों,highways,408
कलेक्टर,collector,408
कॉफ़ी,coffee,408
पकवान,dish,408
पानीपत,panipat,408
आजीविका,livelihood,408
देवकी,devaki,408
अनुप्रस्थ,transverse,408
लॉस्ट,lost,408
सिलिंडर,cylinder,408
कुर्सी,chair,407
आँकड़े,statistics,407
चूहों,rats,407
मल्ल,wrestler,407
क्रॉयडन,croydon,407
आयामी,dimensional,407
नान,naan,407
नैपोलियन,napoleon,407
मेज,table,407
इज़रायल,israel,407
हेपेटाइटिस,hepatitis,407
वादन,recital,407
आकारों,sizes,406
बचना,avoid,406
भट्ठी,furnace,406
साहेब,sir,406
चेन,chain,406
अनोखा,unique,406
अल्फ्रेड,alfred,406
थापित,established,406
मापी,measured,406
सूर,sur,406
सुखी,happy,406
प्रतिभूति,securities,406
असीमित,unlimited,406
रिले,relay,406
शरणार्थी,refugees,406
प्रतिकृति,replica,406
जमकर,fiercely,406
अथर्ववेद,atharvaveda,405
कब्रिस्तान,graveyard,405
पितृवंश,patrilineage,405
बालिका,girl,405
पाटिल,patil,405
लगान,rent,405
पिछड़ा,backward,405
नशीली,intoxicating,405
बाला,bala,405
पटनी,patni,405
सचेत,conscious,405
उत्खनन,excavation,405
भट्टाचार्य,bhattacharya,404
थोक,bulk,404
सर्वदा,always,404
राष्ट्रिय,national,404
बेटों,sons,404
प्रबुद्ध,enlightened,404
ट्रेडमार्क,trademark,404
पन्नों,pages,404
चिड़ियों,hummingbirds,404
टिकाऊ,durable,404
मैग्लेव,maglev,404
रडार,radar,404
सूरीनाम,suriname,404
अनुग्रह,grace,404
प्रतियाँ,copies,404
पिशाच,vampire,404
मिसौरी,missouri,404
मिर्जा,mirza,403
पट्टे,lease,403
इंतजार,wait,403
शत,hundred,403
अष्टम,eighth,403
हिंडन,hindon,403
मजाक,joke,403
महमूदपुर,mahmudpur,403
जीवाश्मों,fossils,403
देवों,gods,403
डिब्बे,compartment,403
गतिविधियाँ,activities,403
वॉल्ट,vault,403
शर्तें,terms,402
कथाकार,storyteller,402
आतंकी,terrorist,402
आयनों,ions,402
कैमडन,camden,402
लूविशम,lewisham,402
कटिया,katya,402
रणथम्भौर,ranthambore,402
ब्रॉडबैंड,broadband,402
अड्डों,bases,402
मसौदा,draft,402
वाहिनी,corps,402
अत्याधुनिक,state-of-the-art,402
सर्वमान्य,universally accepted,402
धवन,dhawan,402
सहाय,help,402
होलकर,holkar,402
प्रिक्स,prix,402
नंदन,nandan,401
चित्रा,figure,401
गायकों,singers,401
इकट्ठे,assembled,401
जिन्होनें,who,401
अनोखी,unique,401
गणों,ganas,401
मोतीलाल,motilal,401
बेहटा,behta,401
आत्मविश्वास,self-confidence,401
उपचारों,treatments,401
समाचारपत्र,newspaper,401
तोमर,tomar,401
जेरिको,jericho,401
लूब्रिकेंट,lubricant,401
नेचर,nature,400
किनारा,edge,400
क़ानूनी,legal,400
एंडरसन,anderson,400
पादरियों,clergy,400
किशन,kishan,400
निर्दोष,innocent,400
मंगोलों,mongols,400
इमादपुर,imadpur,400
शल्यक्रिया,surgery,400
अमेरिकियों,americans,400
आलोक,light,400
डिज्नी,disney,400
सुत्त,sutta,400
मुस्कान,smile,399
रासो,raso,399
प्रशस्ति,commendation,399
पूर्वार्ध,first half,399
साइप्रस,cyprus,399
मिल्क,milk,399
लिवरपूल,liverpool,399
बसी,basi,399
बरई,barai,399
मेडिसिन,medicine,399
आंत्र,bowel,399
सरहद,border,399
अनुपयुक्त,unsuitable,399
कंट्री,country,399
शिल्पी,shilpi,398
सत्तर,seventy,398
कर्क,cancer,398
मॉल्डन,malden,398
संप्रभुता,sovereignty,398
महमदपुर,mahmadpur,398
रिपोर्टों,reports,398
जरा,just,398
महेंद्र,mahendra,398
द्रोणी,basin,398
तत्त्वों,elements,398
अर्धचालक,semiconductor,398
बापू,bapu,398
बनेगा,will form,398
दस्ते,squad,398
आवंटन,allocation,398
पैराग्वे,paraguay,398
रूपए,rupees,398
छोड़े,leave,397
दफन,burial,397
पल्लव,pallavas,397
द्वेष,grudge,397
जलोढ़,alluvial,397
शिथिल,loosely,397
विल्सडन,willesden,397
वॉल,wall,397
सिरा,tip,397
गड़िया,gadia,397
सामंतों,feudal lords,397
मवेशियों,cattle,397
बॉडी,body,397
रिसाव,leak,397
मिटाने,erase,397
ग्रामों,villages,397
कज़ाख़,kazakh,397
दुल्हन,bride,397
कदाचित्,perhaps,397
बेंज,benz,397
उर्वशी,urvashi,396
मापदंड,criteria,396
तानाशाही,dictatorship,396
न्यूकैसल,newcastle,396
रेखांकित,underlined,396
मुलाक़ात,meeting,396
उपशाखा,sub-branch,396
बेकनहम,beckenham,396
साउथगेट,southgate,396
नियामतपुर,niamatpur,396
मात्राओं,quantities,396
तीर्थों,pilgrimage sites,396
गंगोत्री,gangotri,396
केंद्रक,nucleus,396
बुला,call,396
क्लाउड,cloud,395
जमाव,accumulation,395
घुसपैठ,infiltration,395
शीतोष्ण,temperate,395
हलकी,light,395
अलास्का,alaska,395
जलाने,burning,395
तनु,attenuated,395
पीढी,generation,395
ओर्पिंगटन,orpington,395
पेंज,penge,395
चन्दपुर,chandpur,395
बरतल,bartal,395
गमन,departure,395
सजावटी,decorative,395
गुस्से,anger,395
गैरी,gary,395
अर्थव्यवस्थाओं,economies,395
असेम्बली,assembly,395
गड़बड़ी,mess,395
सच्ची,TRUE,395
वाइस,vice,395
आपरेशन,operation,394
उभार,bump,394
सारनाथ,sarnath,394
मातृ,maternal,394
ओशन,ocean,394
महाकाव्यों,epics,394
वात,vata,394
अमौसी,amausi,394
आधारशिला,foundation stone,394
सप्ताहांत,weekend,394
फ़ेल्ठम,feltham,394
पिनर,pinner,394
कुंअरपुर,kunarpur,394
बिराहिमपुर,birahimpur,394
हुसेनपुर,hussainpur,394
उड़ा,blown,394
फहराया,hoisted,394
इब्राहिम,ibrahim,394
प्रतिलिपि,copy,394
महाप्रभु,mahaprabhu,394
बेग,bag,393
अनजाने,unknowingly,393
मसालों,spices,393
माधोपुर,madhopur,393
शाहजहाँपुर,shahjahanpur,393
अहसास,feeling,393
फ्रायड,freud,393
रम्पुरा,rampura,393
सिंघासन,throne,393
इतर,perfume,393
वुड्स,woods,393
सावित्री,savitri,393
गलियारे,corridors,392
प्रसन्नता,happiness,392
बढ़त,edge,392
वेश,disguise,392
स्पीकर,speaker,392
काबू,control,392
ब्रिगेड,brigade,392
रक्सौल,raxaul,392
ट्विकनहम,twickenham,392
निर्वासन,exile,392
मारना,strike,392
पांडुलिपि,manuscript,392
अलियापुर,aliapur,392
किसरोली,kisroli,392
संतोषपुर,santoshpur,392
रसीदाबाद,rasidabad,392
शम्भूनगला,shambhunagala,392
उदारता,generosity,392
सोशलिस्ट,socialist,392
मध्यस्थ,mediator,392
गतिज,kinetic,392
बीत,past,392
काई,moss,392
कुंवर,kunwar,392
अस्थाई,temporary,392
सर्वनाम,pronoun,392
बॉस,boss,391
नज़दीक,near,391
परिसंचरण,circulation,391
फेडरल,federal,391
चटर्जी,chatterjee,391
हैम्पस्टेड,hampstead,391
अद्दूपुर,addupur,391
अमिलैया,amiliah,391
जोगपुर,jogpur,391
पैथान,paithan,391
भटासा,bhatasa,391
हंसापुर,hansapur,391
प्रणाम,greetings,391
गंगोलीहाट,gangolihat,391
फर्क,difference,391
शाहरुख,shahrukh,391
गोलीबारी,firing,391
सत्यापन,verification,391
गाथाओं,sagas,391
स्पीयर्स,spears,391
सुषमा,sushma,390
निरंतरता,continuity,390
सन्तान,children,390
सियरा,sierra,390
पश्तो,pashto,390
पारा,mercury,390
इंसुलिन,insulin,390
परिक्षण,test,390
फ्लाइट,flight,390
गुजरते,passing,390
समझौतों,agreements,390
कुंआखेरा,kunakhera,390
खुदना,engrave,390
प्रहलादपुर,prahladpur,390
सैंथरा,sainthra,390
रुटौल,rutau,390
शिवरई,shivarai,390
हुसंगा,husanga,390
समेचीपुर,samechipur,390
सिवारा,siwara,390
तरंगें,waves,390
रोबोट,robot,390
भागीरथी,bhagirathi,390
मैनहटन,manhattan,390
गन्धकाम्ल,sulphuric acid,390
प्रयत्नों,efforts,389
संस्मरण,memoirs,389
गुटों,factions,389
ब्रिटिशों,british,389
विषाक्तता,toxicity,389
बहादुरी,bravery,389
ऊगरपुर,ugarpur,389
खलवारा,khalwara,389
पितौरा,pithora,389
पुरौरी,purori,389
सूक्त,sukta,389
मस्तक,head,389
आक्रमणकारियों,invaders,389
साधुओं,sadhus,389
जुर्माना,fine,389
अहीर,ahir,389
बढ़ाई,magnification,388
नूतन,new,388
विद्युतीय,electrical,388
कौरवों,kauravas,388
डेयरी,dairy,388
सीमावर्ती,borderline,388
फंस,stuck,388
मूर्त,tangible,388
प्रत्याशी,candidate,388
न्यूइंगटन,newington,388
पैडिंगटन,paddington,388
बर्बाद,ruined,388
हुगली,hooghly,388
प्रकाशनों,publications,388
शौकिया,amateur,388
परीक्षित,tested,388
पश्च,back,388
स्ट्रिप,strip,388
वेस्टमिन्स्टर,westminster,388
निर्गुण,nirgun,388
विवेकानन्द,vivekananda,387
कोंकण,konkan,387
पाँव,feet,387
अपमानजनक,insulting,387
वैशेषिक,vaisheshika,387
जताई,expressed,387
व्यस्ततम,busiest,387
मज्जा,marrow,387
हवाले,reference,387
फेस्टिवल,festival,387
एनरॉन,enron,387
चमकीले,bright,386
सुश्रुत,sushruta,386
परिभाषाओं,definitions,386
बैठता,sits,386
चमड़ा,leather,386
फ़ौज,army,386
क्योकि,because,386
जन्मी,born,386
रिक्टर,richter,386
खोने,losing,386
कड़ियों,links,386
सिस्टम्स,systems,386
प्रतिमाएं,statues,386
स्कॉट्स,scots,386
कक्षों,chambers,386
कीबोर्ड,keyboard,385
देहान्त,death,385
कूटनीति,diplomacy,385
डेक्कन,deccan,385
बटालियन,battalion,385
अस्सी,eighty,385
अक्सब्रिज,uxbridge,385
मौलवी,maulvi,385
विदिशा,vidisha,385
सोमनाथ,somnath,385
जहाँगीर,jahangir,385
मारवाड़,marwar,385
नौकर,servant,384
नीची,low,384
कूच,march,384
अहंकार,arrogance,384
इस्माइल,ismail,384
कानों,ears,384
अपनाते,adopting,384
आद्य,primordial,384
स्टोरी,story,384
बलराम,balarama,384
स्केल,scale,384
डाकू,dacoit,384
संजीव,sanjeev,383
आगंतुकों,visitors,383
कार्यकारिणी,executive,383
मुक्केबाजी,boxing,383
कस्बों,towns,383
हस्तलिखित,handwritten,383
अबतक,so far,383
सोडा,soda,383
वृन्दावन,vrindavan,383
वैराग्य,renunciation,383
गुरुजी,guruji,383
बाहुल्य,abundance,383
एशियन,asian,383
बेरीनाग,berinag,383
ठहरने,stay,383
प्रवर्तित,promoted,383
प्रवर्धक,amplifier,383
मवेशी,cattle,383
शस्त्रों,weapons,383
रामानंद,ramanand,383
एनालॉग,analog,383
हावर्ड,howard,383
त्रिपिटक,tripitaka,383
लीड्स,leeds,383
थेरेपी,therapy,383
पैसों,money,382
पैट्रिक,patrick,382
सिलिका,silica,382
विसर्जन,immersion,382
स्टाइल,style,382
फिल्माया,filmed,382
